COMPARISONS:			
plus	more	moins	less
le droit	the right	l’échange (m)	exchange
l’école (f) primaire/secondaire	(primary/secondary) school	écouter	to listen
l’élève (m/f)	pupil	l’emploi du temps (m)	timetable
en première	in yr12	en seconde	in yr 11
en sixième	in yr7	en terminale	in yr 13
encourager	to encourage	les études (f)	studies
l’étudiant (m)	student	étudier	to study
l’examen (m)	exam	l’exemple (m) 	example
facile	easy	faire attention	to pay attention
finir	to finish	le français	French
la géographie	geography	l’histoire (f)	history
l’informatique	ICT	inquiet	worried/anxious
l’instituteur/l’institutrice	primary school teacher	le laboratoire	laboratory
la langue	language	la leçon	lesson
le livre	book	le lycée (technique)	(technical) college
les math(s) (f)	maths	les mathématiques	mathematics
la matière	school subject	le mot	word
la note	grade	organiser	to organise
oublier	to forget	parler	to speak/talk
passer	to sit an exam/spend	la pause	break
penser	to think	perdre	to lose
la photocopie	photocopy	la physique	physics
poser	to ask a question	pouvoir	to be able to
préparer	to prepare	le professeur	teacher
la récréation	breaktime	la règle	ruler
le règlement	rule	la rentrée	return to school
répéter	to repeat	répondre	to answer
la réponse	answer	le résultat	result
reviser	to revise	la salle de classe	classroom
savoir	to know	scolaire	school (adj)
le stylo	pen	le tableau (blanc interactif)	(interactive white) board
travailler	to work	travailleur	hardworking
le trimestre	school term	l’uniforme (m)	uniform
l’université (f)	university	utiliser	to use
le vocabulaire	vocabulary		

			
CURRENT & FUTURE JOBS:			
l’acteur/l’actrice	actor/actress	l’avenir	future
bien payé	well paid	la boîte aux lettres	postbox
le boucher	butcher	le boulanger	baker
le boulot	job/work	le caissier/la caissière	cashier
le candidat	candidate	certainement	certainly
le certificat	certificate	le chef	boss/manager
le/la collègue	colleague	la conférence	conference
décider	to decide	devenir	to become
distribuer	hand out/distribute	le docteur	doctor
l’électricien (m)	electrician	l’emploi	job/employment
l’entreprise (f)	company	l’enveloppe (f)	envelope
l’épicier	grocer	le facteur	postman
le fermier	farmer	le formulaire	form
l’hôtesse de l’air	air hostess	l’infirmier/l’infirmière	nurse
l’ingénieur (m)	engineer	la lettre	letter
livrer	to deliver	mal payé	badly paid
le mécanicien 	mechanic	le musicien	musician
le paquet	packet	le patron	boss
le plombier	plumber	le policier	police officer
le programmeur	programmer	le/la propriétaire	owner
(se) rappeler	to call back/remind (remember)	le rêve	dream
le salaire	salary	le/la secrétaire	secretary
le serveur/la serveuse	waiter/waitress	le stage (en enterprise)	work experience
le technicien	technician	le timbre	stamp
le travail	work/job/task	varié	varied
le vendeur/la vendeuse	sales assistant		


























HIGHER TIER – You will be expected to use and understand the following vocabulary if you are taking the Listening and Reading exams at this level as well as the vocabulary off the Foundation list and the General Vocabulary List. 
LIFESTYLE
HEALTH:			
à la carte	a la carte/on the menu	à peine	hardly/barely/scarcely
à point	medium rare	accro	addicted
l’activité physique (f)	physical activity	l’agneau (m)	lamb
l’ail (m)	garlic	alcoolique	alcoholic
alcoolisé	drunk/alcoholic	l’acoolisme (m)	alcoholism
l’alimentation saine (f)	healthy diet	amer	bitter
l’ananas (m)	pineapple	l’apéritif (m)	pre-dinner drink
avertir	to warn	bien cuit	well done (cooked)
le canard	duck	le casse-croûte 	snack
la casserole	casserole	le concombre	cucumber
la côtelette	cutlet/chop	la crevette	prawn/shrimp
la crise cardiaque	heart attack	cru	raw
les crudités (f)	raw vegetables	dégoutant	disgusting
la dégustation	tasting/sampling	désintoxiquer	to detox
(se) détendre	to relax	la douleur	pain
(s’) entraîner	to train	épais	thick
épicé	spicy	épuiser	to exhaust/tire out
l’escargot (m)	snail	faire la grasse matinée	to have a lie in
la farine	flour	le foie	liver
gâcher	to waste	hors d’haleine	out of breath
l’huître (f)	oyster	ivre	drunk
la laitue	lettuce	les matières grasses (f)	fats
mener	to lead (to)	la noix	nut
l’oignon (m)	onion	l’ouvre-boîte (m)	tin opener
le pamplemousse	grapefruit	piquant	spicy
la piqûre	sting	le poumon	lung
la prune	plum	renoncer	to give up/renounce
reprendre connaissance	to regain consciousness	respirer	to breathe
le revendeur	retailer	saignant	bloody/rare
sale	salty	sauvegarder	to save/protect
savoureux	delicious/tasty	le sommeil	sleep
avoir sommeil	to be sleepy	le tabagisme	smoking
le tire-bouchon	bottle opener	le/la toxicomane	drug addict
tuer	to kill	le veau	veal
la veine	vein	le vinaigre	vinegar
voler	to steal		
			
RELATIONSHIPS & CHOICES:			
actif	active	l’ado (m/f)	teenager/adolescent
agresser	to assault/mug	l’alliance (f)	wedding ring
animé	lively	l’attaque (f)	attack
la bague	ring	baiser	kiss
la bande	gang/group	le bonheur	joy/pleasure/happiness
brutaliser	to attack/abuse	cacher	to hide
le caractère	character	le célibataire	single person
chrétien	christian	compréhensif	understanding
compter sur	to count on	consacrer	to devote/dedicate
le conseil	advice	coupable	guilty
de mauvaise humeur	in a bad mood	(se) débrouiller	to manage/take care of things/sort out
déçu	disappointed/disillusioned	déprimé	depressed
déranger	to upset/disturb/bother	la dette	debt
douter	to doubt	les droits de l’homme (m)	human rights
effrayant	scary/frightening	égal	equal
l’égalité (f)	equality	élégant	elegant
l’enlèvement (m)	abduction/kidnapping	l’ennui (m)	boredom
l’enquête (f)	enquiry	envahir	to invade/take over
épouser	to marry	l’espoir (m)	hope
étonnant	surprising	étrange	strange
éviter	to avoid	les exclus (m/f)	homeless/underprivileged
exprès	intentionally/on purpose	féliciter	to congratulate
fêter	to celebrate	les fiançailles (f)	engagement
fiancé	engaged	fier	to be proud
fou/folle	mad/crazy	gâter	to spoil
gêner	to disturb/annoy/bother	humilier	to humiliate
illégal	illegal	l’immigré (m)	immigrant
inconnu	unknown	jaloux	jealous
la jeunesse	youth (adolescence)	le jugement	verdict/decision/ruling
juif	jewish	le jumeau/la jumelle	twin
laid	ugly	les libertés civiques (f)	civil liberties
lutter	to fight/struggle	maigre	thin
maladroit	clumsy/heavy-handed	la manifestation	demonstration
menacer	to threaten	(se) mettre en colère	to anger (get angry)
monoparental	single parent	le moral	mental health
la mosquée	mosque	mourir	to die
musulman	muslim	naître	to be born
nerveux	nervous	le neveu	nephew
la nièce	niece	les noces (f)	wedding ceremony
la nostalgie	nostalgia	l’organisation caritative (f)	charitable organisation / charity
la pauvreté	poverty	la petite-fille	grandaughter
le petit-fils	grandson	(se) plaindre	to complain
plaire	to please/delight	le plaisir	pleasure
la racaille	riffraff/scum	le racisme	racism
raide	straight/broke (money)/stiff (person)	réaliser	to realise (e.g. a dream)
reconnaissant	grateful/appreciative	réfléchir	to reflect/think about
le réfugié 	refugee	la retraite	retirement 
à la retraite	retired	rêver	to dream
sans ressources	without means	les sans/abri (m/f)	homeless
le sentiment	feeling/opinion/intention	(se) séparer	to separate/split up
le sida	AIDS	surveiller	to keep an eye on/watch
le témoin	witness	tomber amoureux de	to fall in love with
le travail bénévole	volunteer work	le veuf	widower
la veuve	widow	vif	lively/vivacious/keen
le vol	theft	le voyou	lout/thug/rascal

LEISURE	
FREE TIME & THE MEDIA:			
les actualités (f)	news	l’alpinisme (m)	mountaineering
annuler	to cancel	anonyme	anonymous
l’antenne (f)	aerial	le bijou	jewellery
le bloggeur	blogger	la boîte aux lettres 	inbox 
le bouton	button	le caméscope	camcorder
le canoë kayak	kayak	la chaîne	channel
le chariot	online cart	le chemisier	blouse
le commencement	beginning/start	le commerçant	shopkeeper/trader
le comptoir	counter/bar	la console de jeu	games console
contrôler	to control	le courrier électronique	e-mail
la course	race/shopping	le cybercafé	cybercafé
déchirer	to tear (up/apart)	dérouler (en bas/en haut)	to scroll (down/up)
deviner	to guess/work out	les distractions (f)	distractions
le distributeur automatique	vending machine/cash point	l’écharpe (f)	scarf
les échecs (m)	chess	l’écran tactile (m)	touch screen
effacer	to rub out/erase/wipe	emballer	to pack/package/wrap
emprunter	to borrow	(s’) ennuyer	to bore (get bored)
enregistrer	to record	l’escalade (f)	climbing
être remboursé	to be reimbursed	l’événement (m)	event
faire du lèche-vitrine	to window shop	la fermeture (annuelle)	(annual) closing
le feu d’artifice	firework	feuilleter	to leaf/skim through
les fléchettes	darts	le/la fleuriste	florist
le genre	type/genre	la grande surface	super/hypermarket
la grille de sécurité	safety gate	le gymnase	gymnasium
l’icône (f)	icon	imprimer	to print
le jour férié	bank holiday	lancer	to throw
le libre-service	self-service	le lien	link/connection/relationship
lourd	heavy	le magnétoscope	video recorder
marquer (un but)	to score (a goal)	mettre en ligne	to upload
la mi-temps	half-time	le moniteur	monitor/instructor
les mots croisés (m)	crossword	la musculation	weightlifting/body-building
la page d’accueil	home page	pédagogique	educational/instructive
le piercing (à l’oreille)	(ear) piercing	la pile	battery
la planche de surf	surfboard	la platine laser	CD player
la plongée sous-marine	scuba diving	la poissonnerie	fishmonger
le poste de travail	work station	la prise	plug
le pull à capuche	hooded jumper	quotidien	daily
la réclame	advert	le reçu	receipt
rembourser	to reimburse	remplacer	to replace
remporter	to win	le réseau	network
le reste	rest/remainder	la réunion	meeting/get-together
le sommet	summit	suggérer	to suggest
le tatouage	tattoo	télécharger	to download
le téléspectateur	TV viewer	la tournée	tour/round
le traitement de texte	Word processing		
			
HOLIDAYS:			
l’aire de repos	rest area	atterrir	to land
l’avis (m)	opinion/notice	le bistro	bistro/café
le bloc sanitaire	toilet block	la brasserie	brewery
le casque	helmet	la chambre d’hôte 	guesthouse
le chemin de fer	railway	la climatisation	air conditioning
la correspondance	letters/correspondence	la croisière	cruise
décoller	take off	la déviation	diversion
diriger	to guide/steer/direct	doubler	to overtake
en provenance de	(coming) from	l’état (m)	state
la frontière	border	indiquer	to show/indicate
le loyer	rent	manquer	to miss/lack
la marée	tide	le niveau	level
le panneau	sign	paraître	to seem/appear
le parc d’attractions	theme park	le passage à niveau	level crossing
le paysage	landscape/scenery	la perte	loss
ralentir	to slow down	remarquer	to note/see/notice
le routier	road	la station balnéaire	seaside resort
la station de ski	ski resort	la tour	tower
le trajet	journey/ride/flight	la traversée	crossing

HOME & ENVIRONMENT

HOME & LOCAL AREA:			
allumer	to turn/switch on	appuyer	to press/lean
l’arrondissement (m)	district/quarter	le baptême	baptism
le bricolage	DIY	bruyant	noisy
le/la concierge	caretaker/housekeeper	la couverture	cover
couvrir	to cover	donner sur	to look out onto
dur	hard	l’échelle	ladder
entouré	surrounded	les espaces verts (m)	green spaces
l’étagère (f)	shelf	éteindre	to turn/switch off
le fauteuil	armchair	la feuille	sheet
la fontaine	fountain	la forêt	forest
le grenier	loft/attic	la haie	hedge
l’herbe	grass	l’horloge (f)	clock
l’inondation (f)	flood	le jardin public	public park
le jour de l’an	new year’s day	jumelé	twinned
les lits superposés	bunkbeds	la moquette	carpet
le palais	palace	pittoresque	picturesque
ranger	to tidy	le robinet	tap
la Saint-Sylvestre	New Year’s Eve	sans intérêt	of no interest/importance
spacieux	spacious	la terre	soil/ground/earth
le tiroir	drawer	la Toussaint	All Saints Day
le volet	blind		
			
ENVIRONMENT:			
augmenter	to increase	le charbon	coal
la consommation (moderée)	moderated consumption	construire	to build
la couche d’ozone	ozone layer	croire	to believe
le déboisement	deforestation	les détritus (m)	rubbish/waste
détruire	to destroy	disparaître	disappear
l’effet de serre (m)	greenhouse effect	l’emballage (m)	packaging
l’embouteillage (m)	traffic jam	endommager	to damage/harm
l’espèce (f)	species	le gaz carbonique	carbon dioxide
le gaz d’échappement 	exhaust fumes	la guerre	war
les heures d’affluence	peak time / rush hour	l’incendie (m)	fire
la lumière	light	mondial	global
les ordures (f)	filth/waste/rubbish	la paix	peace
produire	to produce	ramasser	to pick up/collect/gather
le réchauffement de la terre	global warming	renouvelable	renewable
surpeuplé	overpopulated	le tremblement de terre	earthquake
le trou d’ozone	hole in the ozone layer	la vague	wave
	

WORK & EDUCATION

SCHOOL/COLLEGE & FUTURE PLANS			
bien équipé	well equipped	le car de ramassage 	school bus
la confiance	confidence/trust	la connaissance	knowledge/aquaintance
couramment	fluently	le diplôme	diploma
doué	gifted/talented	échouer	to fail
empêcher	to prevent/stop	enseigner	to teach
l’enthousiasme (m)	enthusiasm	l’explication (f)	explanation
la faculté	college/faculty/university	frapper	to hit
les incivilités (m)	incivilities 	l’instruction civique (f)	citizenship
l’instruction religieuse (f)	religious education	les langues vivantes (f)	modern languages
la licence	degree	mal équipé	badly equipped
la maternelle	nursery school	mentir	to lie
permettre	to allow	les progrès (m)	progress/development
redoubler	to repeat a year/to be held back a year	la retenue	detention
réussir	to succeed	la salle d’informatique	IT room
la salle des professeurs	staff room	le souci	worry
surchargé	overworked	la tâche	task
(se) taire	to keep quiet	le thème	theme/subject/topic
traduire	to translate	le troisième âge	old people
utiliser	to use	la victime	victim
			
CURRENT & FUTURE JOBS:			
améliorer	to improve	l’annuaire (m)	telephone book
assurer	to reassure	l’auteur	author
l’avertissement (m)	warning	l’avocat	lawyer
le cadre	middle manager/executive	le comptable	accountant
le contrat	contract	le cours professionnel	professional course 
la demande d’emploi	job application	l’écrivain (m)	writer
enrichissant	enriching/rewarding	l’entretien (m)	interview
l’épreuve (f)	test	la femme de ménage	cleaner
la foire d’exposition	trade show 	l’homme au foyer (m)	house husband
l’informaticien (m)	IT engineer	l’interprète (m/f)	interpreter
le jardinier	gardener	licencier	to fire/sack/dismiss
la loi	law	le maçon	builder/bricklayer
le mannequin	model (fashion)	l’offre d’emploi (f)	job offer
l’ouvrier (m)	labourer	le programme de formation	training programme
soigner	to care for/treat/tend	le soin	care/tidiness
le/la vétérinaire	vet		

